"No","itemId","nameJP","nameTrans","itemName","itemType","itemSubtype","buttonType","dataType","required","format","minLength","maxLength","defaultValue","validationNote","description","userAction","transitionNote","databaseTable","databaseColumn","databaseNote","qa","spec_progress"
"A","6885:10436","Kudos紹介バナー","Kudos Introduction Banner","mms_A_KV Kudos","others","info_block","","","","","","","","","Banner giới thiệu hệ thống ghi nhận Kudos ở đầu trang. Hiển thị:   - Text phụ: 'Hệ thống ghi nhận và cảm ơn'   - Logo/Text chính: icon lửa + 'KUDOS' Chức năng:   - Hiển thị tĩnh; không có hành vi tương tác   - Trang trí và branding cho hệ thống Kudos","","","","","","","completed"
"B","6885:10453","賞ハイライトブロック","Award Highlight Block","mms_B_Highlight","others","info_block","","","","","","","","","Khối nổi bật hiển thị tiêu đề hệ thống giải thưởng và dropdown chọn loại giải. Hiển thị:   - Text phụ: 'Sun* Annual Awards 2025'   - Tiêu đề chính: 'Hệ thống giải thưởng SAA 2025'   - Dropdown chọn giải: hiển thị 'Top Project' (đang được chọn) với icon mũi tên xuống   - Ảnh nền artwork trang trí Chức năng:   - Container chứa tiêu đề và dropdown chọn loại giải thưởng","","","","","","","completed"
"B.1","6885:10454","賞セクションヘッダー","Award Section Header","mms_B.1_header","others","info_block","","","","","","","","","Phần header của khu vực giải thưởng; chứa tiêu đề và dropdown chọn giải. Hiển thị:   - Text phụ: 'Sun* Annual Awards 2025'   - Tiêu đề chính: 'Hệ thống giải thưởng SAA 2025'   - Dropdown: 'Top Project' với icon mũi tên xuống Chức năng:   - Container hiển thị tiêu đề mục giải thưởng   - Dropdown cho phép chọn loại giải để xem chi tiết","","","","","","","completed"
"C2.1.2","6885:10473","数量ラベル","Quantity Label","mms_C2.1.2_Top Talent","label","","","","","","","","","","Label 'Số lượng giải thưởng' trong phần thông số giải thưởng. Hiển thị:   - Icon: biểu tượng huy hiệu   - Text: 'Số lượng giải thưởng' Chức năng:   - Hiển thị tĩnh","","","","","","","completed"
"C2.1.2","6885:10467","トッププロジェクトタイトル","Top Project Title","mms_C2.1.2_Top Talent","label","","","","","","","","","","Tiêu đề 'Top Project' hiển thị tên giải thưởng. Hiển thị:   - Text: 'Top Project'   - Icon: biểu tượng giải thưởng phía trước text Chức năng:   - Hiển thị tĩnh; text thay đổi theo giải được chọn","","","","","","","completed"
"C2.1.2","6885:10481","賞金額テキスト","Award Amount Text","mms_C2.1.2_Top Talent","label","","","","","","","","","","Giá trị tiền thưởng của giải. Hiển thị:   - Text lớn: '15.000.000 VNĐ'   - Text phụ: 'cho mỗi giải thưởng' Chức năng:   - Hiển thị tĩnh; giá trị thay đổi theo giải được chọn","","","","","","","completed"
"C2.1.3","6885:10475","数量値テキスト","Quantity Value Text","mms_C2.1.3_Vinh danh top cá nhân xuất sắc trên mọi phương diện","label","","","","","","","","","","Giá trị số lượng giải thưởng. Hiển thị:   - Text: '02' (số lượng) + 'Tập thể' (đơn vị) Chức năng:   - Hiển thị tĩnh; giá trị thay đổi theo giải được chọn","","","","","","","completed"
"C2.1.3","6885:10476","賞価値ラベル","Award Value Label","mms_C2.1.3_Vinh danh top cá nhân xuất sắc trên mọi phương diện","label","","","","","","","","","","Label 'Giá trị giải thưởng' trong phần thông số giải thưởng. Hiển thị:   - Icon: biểu tượng giải thưởng   - Text: 'Giá trị giải thưởng' Chức năng:   - Hiển thị tĩnh","","","","","","","completed"
"C2.1.3","6885:10484","賞画像（代替）","Award Image (Alternate)","mms_C2.1.3_Vinh danh top cá nhân xuất sắc trên mọi phương diện","others","image","","","false","","","","","","Hình ảnh biểu tượng giải thưởng (phiên bản thay thế/trạng thái khác). Hiển thị:  - Ảnh graphic: huy hiệu tròn với text 'TOP PROJECT' Chức năng: - Hiển thị tĩnh","","","","","","","completed"
"C2.1.3","6885:10483","賞画像","Award Image","mms_C2.1.3_Vinh danh top cá nhân xuất sắc trên mọi phương diện","others","image","","","","","","","","","Hình ảnh biểu tượng giải thưởng (graphic 'TOP PROJECT' dạng huy hiệu tròn). Hiển thị:   - Ảnh graphic: huy hiệu tròn với text 'TOP PROJECT' Chức năng:   - Hiển thị tĩnh; hình ảnh thay đổi theo giải được chọn","","","","","","","completed"
"C2.1.3","6885:10468","トッププロジェクト説明文","Top Project Description","mms_C2.1.3_Vinh danh top cá nhân xuất sắc trên mọi phương diện","label","","","","","","","","","","Đoạn văn mô tả chi tiết về giải thưởng Top Project. Hiển thị:   - Text: 'Giải thưởng Top Project vinh danh các tập thể dự án xuất sắc với kết quả kinh doanh vượt kỳ vọng; hiệu quả vận hành tối ưu và tinh thần làm việc tận tâm...' Chức năng:   - Hiển thị tĩnh; nội dung thay đổi theo giải được chọn","","","","","","","completed"
